Company,Title,GNA Persona,GNA Industry
Atlas Copco,Business Line Manager Aftermarket,Technology Provider,CNG::Construction::Drill Rig::E&P::Equipment
Ferreyros,Superintendent of Operations,Technology Provider,Agriculture::Construction::Equipment::Mining
Foster Wheeler Iberia,Ingeniero Mecánico,,Construction::Engineering::Power Generation
Atlas Copco Mfg Korea,Sales Engineer,Technology Provider,CNG::Construction::Drill Rig::E&P::Equipment
ABCO Korea,Sales Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::Consultant::Drill Rig::Equipment::Finance::Industrial::Oilfield Services
ABCO Korea,General Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::Consultant::Drill Rig::Equipment::Finance::Industrial::Oilfield Services
Atlas Copco Chilena,Especialista Equipos Centrífugos,Technology Provider,CNG::Construction::Drill Rig::E&P::Equipment
Atlas Copco,Vice President Application Engineering and Sales Europe,Technology Provider,CNG::Construction::Drill Rig::E&P::Equipment
Ferreyros,Manager Energy Hydrocarbons and Marine,Technology Provider,Agriculture::Construction::Equipment::Mining
Wartsila,"Marketing Coordinator - Services, Solutions Management",Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Anchor Shoring & Caissons Limited,Unknown,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Engineering::Equipment::Fleet
AECOM,"Senior Vice President / Americas Director, Freight Rail",Consultant,Airport::Construction::Consultant::End User::Engineering::Marine::Planning::Rail
Ballard Exploration Company Inc,Operations Engineer,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Fleet::Gas Purification Technologies::Oilfield Services::Pipeline
Ballard Exploration Company Inc,Land,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Fleet::Gas Purification Technologies::Oilfield Services::Pipeline
LSB Industries,Chemical Operations VP,Technology Provider,Construction::Equipment
Ballard Exploration Company Inc,Exploration,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Fleet::Gas Purification Technologies::Oilfield Services::Pipeline
Ballard Exploration Company Inc,Exploration,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Fleet::Gas Purification Technologies::Oilfield Services::Pipeline
Ballard Exploration Company Inc,Drilling & Production,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Fleet::Gas Purification Technologies::Oilfield Services::Pipeline
Holloman,Pipeline Construction Gen Superintendent,Fleet (On-Road),Construction::E&P::Engineering::Oilfield Services
Ballard Exploration Company Inc,Engineer,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Fleet::Gas Purification Technologies::Oilfield Services::Pipeline
TD industries,Senior Vice President,Consultant,Construction::Consultant::Engineering::Fleet::Heavy Duty
Pine Run Construction,Vice President,Consultant,Construction
CESO,Program Director,Fuel Supplier,CNG::Construction::Engineering::Station Builder/Seller
TD industries,Chief Executive Officer,Consultant,Construction::Consultant::Engineering
DDC,Vice President,Fuel Supplier,Construction
Atlas Copco,Sales and Applications Manager,Technology Provider,CNG::Construction::Drill Rig::Equipment
Hyosung Corporation,Manager,Technology Provider,Construction::Equipment::Wind
Fastech Us,Project Manager,Infrastructure Developer,Client::CNG::Construction::Fuel::Fuel Cell::Hydrogen::LNG::Station Builder/Seller
TD industries,Senior Vice President,Consultant,Construction::Consultant::Engineering
McNeilus,Parts Service Sales Representative,Technology Provider,CNG::Construction::Fleet::Heavy Duty::OEM::Refuse
Atlas Copco,Applications & Key Account Manager,Technology Provider,CNG::Compressors::Construction::Manufacturer::Eqiupment
McNeilus,"Parts and Service Sales - North Central Texas, Panhandle of Texas, Oklahoma and Arkansas",Technology Provider,CNG::Construction::Fleet::Heavy Duty::OEM::Refuse
B&H Construction,Owner,Consultant,Construction
Logistics Realty,Real Estate Investor,Investor,Commercial::Construction::Finance
Wartsila,Technical Sales Engineer,Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller::Water
Hyosung Corporation,Unknown,Technology Provider,Construction::Equipment::Wind
Short Elliott Hendrickson,President,Consultant,Construction::Finance
Short Elliott Hendrickson,Director- Energy & Sustainability Services,Consultant,Construction::Finance
Octaform Systems,CEO,Technology Provider,Biogas::Concrete/Asphalt::Construction::Tank
T.V. John & Son,Vice President,Infrastructure Developer,Construction::Consultant::Engineering::Power Generation
Kiewit,District Engineer,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Construction Industry Council,President,Industry/Trade Group,Association::Construction::Engineering::Power Generation
Amtek Construction,CEO,Consultant,Concrete/Asphalt::Construction::Goods Movement::Heavy Duty
Sukut Construction,Safety & Compliance,Consultant,Power Generation::Construction
Gannett Fleming,President,Public Agency,Construction::Consultant::Planning
Garney,Senior VP,Fleet (On-Road),Construction::Power Generation
J Fletcher Creamer & Son,Service Center Manager,Fleet (On-Road),Concrete/Asphalt::Construction::Energy Efficiency::Fleet::Heavy Duty::Pipeline
Black & Veatch,Project Manager,Consultant,Construction::Consultant::E&P::Engineering::Equipment::Natural Gas::Pipeline
Amherst Madison,VP Safety & Compliance,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Rental Company
Wartsila,GM,Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Stabilis Energy,"Vice President, Commercial & Technical Development",Infrastructure Developer,Construction::E&P::Equipment::Fuel System::LNG::Manufacturer::Natural Gas::Power Generation::Remote Power Generation::Station Builder/Seller::Tank
Honeywell,UOP Lead Executive Admin,Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Louisiana CAT,Marine Sales Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Honeywell,"Energy Analyst, CRM",Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Honeywell,Senior Business Consultant,Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Kiewit,Equipment Engineer,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Equipment Manager,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Senior Vice President,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Mine Engineer,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Senior Vice President,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Maintenance Engineer,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Project Manager,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,District Procurement Manager,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Senior Mining Engineer,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Amherst Madison,Maintenance Coordinator / Purchaser,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Rental Company
Amherst Madison,Construction Engineer,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Rental Company
Brice Marine,General Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine
Diamond Services,"Vice President, Operations","Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::OGV::Oilfield Services::Pipeline
Diamond Services,Marine/Crewboat Transportation,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::OGV::Oilfield Services::Pipeline
Matrix Service,Corporate Marketing Manager,Technology Provider,Construction::Engineering::Fuel System::LNG::Mining::Natural Gas::Station Builder/Seller::Storage::Tank
Wartsila,Business Development Director,Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Wagner Equipment,Petroleum/Industrial Sales Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Cemex,Superintendent of Rail Operations,Fleet (On-Road),Concrete/Asphalt::Construction::Engineering::Manufacturer
Cemex,Maintenance Supervisor,Fleet (On-Road),Concrete/Asphalt::Construction::Engineering::Manufacturer
AECOM,"Vice President, Strategic Development",Consultant,Airport::Construction::Consultant::End User::Engineering::Marine::Planning::Rail
Terex,President,Technology Provider,Cargo Handling Equipment; Construction; OEM
InsulTech,Regional Sales Manager,Technology Provider,Construction; Engineering; Equipment; Natural Gas; Power Generation
InsulTech,President,Technology Provider,Construction; Engineering; Equipment; Natural Gas; Power Generation
Primoris Services,Executive Chairman & Senior Strategic Advisor,Fuel Supplier,Biogas::Construction::Engineering::Hydrogen
Primoris Services,"President, Build, Own & Operate",Fuel Supplier,Biogas::Construction::Engineering::Hydrogen
Matrix Service,"Senior Director, Business Development",Technology Provider,Construction::Engineering::Fuel System::LNG::Mining::Natural Gas::Station Builder/Seller::Storage::Tank
Honeywell,"Director Global Logistics - Enterprise, 3PL & TMS Operations",Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Doosan,Marketing Manager,Technology Provider,Construction::Engine::Equipment
Doosan,Product Manager Portable Power,Technology Provider,Construction::Engine::Equipment
NuBlu Energy,Technology Manager,Technology Provider,CNG; Construction; E&P; Engineering; Equipment; Fuel System; LNG; Manufacturer; Natural Gas; Oilfield Services; Power Generation; Remote Power Generation; Storage; Tank
Matrix Service,"Director, Business Development",Technology Provider,Construction::Engineering::Fuel System::LNG::Mining::Natural Gas::Station Builder/Seller::Storage::Tank
InsulTech,Director of Administration,Technology Provider,Construction; Engineering; Equipment; Natural Gas; Power Generation
Federal Mogul,Technical Sales- Industrial Ignition,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Honeywell,Marketing Manager,Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Trinity Industries,Systems Engineer,Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
NuBlu Energy,Partner,Technology Provider,CNG; Construction; E&P; Engineering; Equipment; Fuel System; LNG; Manufacturer; Natural Gas; Oilfield Services; Power Generation; Remote Power Generation; Storage; Tank
TIC Companies,Project Director/ECI Group,"Fleet (Marine, Rail, Mining, E&P)",Concrete/Asphalt::Construction::Drilling::End User::Engineering::Equipment::Industrial::Mining::Oilfield Services::Power Generation
TIC Companies,Executive Sponsor,"Fleet (Marine, Rail, Mining, E&P)",Concrete/Asphalt::Construction::Drilling::End User::Engineering::Equipment::Industrial::Mining::Oilfield Services::Power Generation
Trinity Industries,Product Manager,Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
AltaGas,Regional LNG Project Lead,Utility Company,Construction::E&P::Gas Producer::Gas Purification Technologies::LNG::Natural Gas::Power Generation::Upstream::Wind
Matrix Service,"Vice President, Business Development",Technology Provider,Construction::Engineering::Fuel System::LNG::Mining::Natural Gas::Station Builder/Seller::Storage::Tank
HOLT CAT,Petroleum Sales,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
InsulTech,Non-Automotive Segment Lead,Technology Provider,Construction; Engineering; Equipment; Natural Gas; Power Generation
HOLT CAT,Project Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Parsons Brinckerhoff,Deputy Government Relations,Technology Provider,Construction::Engineering
CB Richard Ellis,Client Services Assistant,Consultant,Construction::Consultant::Finance
Turner Industries,,Fleet (On-Road),Construction::Engineering::Manufacturer::Rental Company
Roofing Supply Group,Chief Executive Officer,Fleet (On-Road),Construction
SRS Roofing Supply / SRS Distribution,Fleet & Safety,Fleet (On-Road),Construction::Heavy Duty
Superior Ready Mix Concrete,Vice President,Fleet (On-Road),Concrete/Asphalt::Construction::LCFS Participant (CA)
Stantec,Corporate Fleet Manager,Consultant,Engineering::Consultant::Construction
Honeywell,VP/GM Renewable Energy & Chemicals,Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
